日付,摘要,出金額（円）
2026-06-04,AMAZON WEB SERVICES,28600
2026-06-04,振込手数料,760
2026-06-05,NOTION LABS,3090
2026-06-06,プリントパック,7910
2026-06-07,CANVA,1500
2026-06-07,振込手数料,470
2026-06-09,UBER TRIP,1550
2026-06-10,GITHUB.COM,1730
2026-06-10,ドトールコーヒー,840
2026-06-11,OPENAI CHATGPT,5700
2026-06-11,スターバックス コーヒー,15400
2026-06-11,レストラン青山,8200
2026-06-11,振込 スズキ イチロウ,120000
2026-06-11,明治安田生命 保険料,24000
2026-06-12,紀伊國屋書店,3620
2026-06-14,ADOBE SYSTEMS,3290
2026-06-14,ニッポンレンタカー,8800
2026-06-14,ヤマト運輸,1850
2026-06-14,ランサーズ,27500
2026-06-15,タイムズパーキング,740
2026-06-16,ココナラ,11580
2026-06-19,SLACK,1810
2026-06-19,スターバックス コーヒー,1380
2026-06-19,スマートEX,8660
2026-06-19,ドトールコーヒー,1500
2026-06-22,AMAZON.CO.JP,2540
2026-06-22,モノタロウ,9460
2026-06-23,ファミリーマート,1430
2026-06-24,スターバックス コーヒー,520
2026-06-24,フラワーショップいしかわ,5500
2026-06-25,AMAZON.CO.JP,17040
2026-06-25,INDEED,50590
2026-06-26,UBER EATS,1930
2026-06-26,ジュンク堂書店,4370
2026-06-28,ETC利用料,4080
2026-06-28,NTTドコモ,8430
2026-06-28,TRIP.COM,15600
2026-06-28,ジュンク堂書店,3380
2026-06-28,マネーフォワード,5400
2026-06-29,VISAカード 年会費,11000
2026-06-30,GO タクシー,3620
2026-06-30,スマートEX,7290
2026-07-01,Kindle書籍,2810
2026-07-01,ドン・キホーテ,6780
2026-07-02,スターバックス コーヒー,700
2026-07-02,ローソン,440
2026-07-02,切手代 日本郵便,1090
2026-07-03,さくらインターネット,5238
2026-07-03,ホテルルートイン,12260
2026-07-04,ウエルシア薬局,1180
2026-07-04,タリーズコーヒー,610
2026-07-04,居酒屋はまべ,12650
2026-07-05,ラクスル,7020
2026-07-05,居酒屋やまと,9800
2026-07-06,META広告,26590
2026-07-06,SLACK,3780
2026-07-06,クラウドワークス,35440
2026-07-06,ダイソー,1600
2026-07-07,佐川急便,2640
2026-07-08,ENEOS セルフ,8050
2026-07-08,Kindle書籍,2510
2026-07-08,ドトールコーヒー,560
2026-07-08,ローソン,1620
2026-07-08,楽天トラベル,21860
2026-07-09,AMAZON.CO.JP,9900
2026-07-09,MICROSOFT 365,2870
2026-07-09,クラウドワークス,22390
2026-07-09,プリントパック,8210
2026-07-09,ホテルルートイン,10980
2026-07-09,日本年金機構 保険料,96000
2026-07-09,白洋舎 クリーニング,3300
2026-07-10,freee株式会社,5240
2026-07-10,ダイソー,590
2026-07-11,ETC利用料,4670
2026-07-11,GOOGLE WORKSPACE,3590
2026-07-11,ZOOM.US,2340
2026-07-11,セブンイレブン,830
2026-07-11,振込 タナカ ハナコ,88000
2026-07-12,GOOGLE WORKSPACE,6640
2026-07-12,STRIPE 決済手数料,3120
2026-07-12,スマートEX,6340
2026-07-12,モノタロウ,4060
2026-07-12,給与振込 6月分,850000
2026-07-13,CANVA,1500
2026-07-13,META広告,34920
2026-07-13,note pro,8800
2026-07-14,GO タクシー,2480
2026-07-14,ニトリ,13010
2026-07-15,MICROSOFT 365,1830
2026-07-15,freee株式会社,5190
2026-07-15,ダイソー,950
2026-07-16,AMAZON.CO.JP,11280
2026-07-16,楽天トラベル,16170
2026-07-17,アスクル,9680
2026-07-18,ココナラ,20470
2026-07-18,ドトールコーヒー,1510
2026-07-18,バーチャルオフィス月額,5500
2026-07-18,振込手数料,230
2026-07-20,タイムズパーキング,1090
2026-07-20,所得税 源泉 納付,63000
2026-07-20,給与振込 7月分,850000
2026-07-22,バーチャルオフィス月額,5500
2026-07-22,紀伊國屋書店,5470
2026-07-23,ENEOS セルフ,7290
2026-07-23,スギ薬局,2340
2026-07-23,スターバックス コーヒー,1560
2026-07-24,NOTION LABS,3200
2026-07-24,スマートEX,7370
2026-07-24,マクドナルド,2420
2026-07-24,ロリポップ！レンタルサーバー,1100
2026-07-24,ローソン,700
2026-07-25,AMAZON.CO.JP,8720
2026-07-25,GITHUB.COM,2170
2026-07-25,焼肉平城苑,48000
2026-07-27,ADOBE SYSTEMS,5160
2026-07-27,AMAZON.CO.JP,10480
2026-07-27,AMAZON.CO.JP,27670
2026-07-27,タイムズパーキング,1340
2026-07-27,ローソン,630
2026-07-27,切手代 日本郵便,1910
2026-07-28,タイムズパーキング,1080
2026-07-29,タリーズコーヒー,1560
2026-07-30,ニトリ,13670
2026-07-30,三井住友銀行 借入金返済,200000
2026-07-31,APPLE.COM/BILL,3440
