日付,借方科目,借方金額,貸方科目,貸方金額,摘要
2025-10-08,交際費,23660,普通預金,23660,取引先会食
2025-10-09,消耗品費,7490,普通預金,7490,Amazon 事務用品
2025-10-09,旅費交通費,23390,普通預金,23390,新幹線代 東京出張
2025-10-10,外注費,33000,普通預金,33000,2025年10月分オフィスクリーニング ㈱クリンサポート
2025-10-10,買掛金,450000,普通預金,450000,2025年9月分仕入代金支払 ㈱ヤマブキ卸
2025-10-12,広告宣伝費,22000,普通預金,22000,Web広告費 2025年10月分
2025-10-13,会議費,1900,普通預金,1900,打合せ喫茶代
2025-10-25,給料手当,291580,普通預金,291580,2025年10月分給与 差引支給額
2025-10-25,給料手当,8420,預り金,8420,2025年10月分給与 源泉所得税
2025-10-27,旅費交通費,2030,普通預金,2030,タクシー代
2025-10-27,支払利息,3000,普通預金,3000,借入金利息 2025年10月分
2025-10-27,長期借入金,50000,普通預金,50000,借入金返済 2025年10月分
2025-10-28,地代家賃,100000,普通預金,100000,事務所家賃 2025年11月分
2025-10-29,新聞図書費,2170,普通預金,2170,書籍代
2025-10-31,仕入高,450000,買掛金,450000,2025年10月分仕入 ㈱ヤマブキ卸
2025-10-31,売掛金,450000,売上高,450000,2025年10月分売上 コハク物産㈱
2025-10-31,売掛金,220000,売上高,220000,2025年10月分売上 ツバキ工房
2025-10-31,売掛金,280000,売上高,280000,2025年10月分売上 ヒイラギ社
2025-10-31,売掛金,380000,売上高,380000,2025年10月分売上 ㈱アオゾラ企画
2025-10-31,売掛金,600000,売上高,600000,2025年10月分売上 ㈱シラカバ堂
2025-10-31,普通預金,450000,売掛金,450000,2025年9月分売掛金入金 コハク物産㈱
2025-10-31,普通預金,220000,売掛金,220000,2025年9月分売掛金入金 ツバキ工房
2025-10-31,普通預金,380000,売掛金,380000,2025年9月分売掛金入金 ㈱アオゾラ企画
2025-10-31,普通預金,600000,売掛金,600000,2025年9月分売掛金入金 ㈱シラカバ堂
2025-10-31,支払手数料,880,普通預金,880,振込手数料
2025-10-31,法定福利費,45000,未払金,45000,社会保険料 2025年10月分
2025-10-31,未払金,45000,普通預金,45000,社会保険料 2025年9月分支払
2025-11-05,通信費,24800,普通預金,24800,インターネット・電話料金 2025年11月分
2025-11-10,買掛金,450000,普通預金,450000,2025年10月分仕入代金支払 ㈱ヤマブキ卸
2025-11-10,外注費,33000,普通預金,33000,2025年11月分オフィスクリーニング ㈱クリンサポート
2025-11-10,会議費,2280,普通預金,2280,打合せ喫茶代
2025-11-10,新聞図書費,4970,普通預金,4970,書籍代
2025-11-12,広告宣伝費,22000,普通預金,22000,Web広告費 2025年11月分
2025-11-13,通信費,1590,普通預金,1590,レターパック代
2025-11-13,旅費交通費,21370,普通預金,21370,新幹線代 東京出張
2025-11-14,消耗品費,11450,普通預金,11450,アスクル 事務用品
2025-11-18,雑費,8800,普通預金,8800,
2025-11-23,消耗品費,9950,普通預金,9950,Amazon 事務用品
2025-11-25,給料手当,291580,普通預金,291580,2025年11月分給与 差引支給額
2025-11-25,給料手当,8420,預り金,8420,2025年11月分給与 源泉所得税
2025-11-27,支払利息,3000,普通預金,3000,借入金利息 2025年11月分
2025-11-27,長期借入金,50000,普通預金,50000,借入金返済 2025年11月分
2025-11-28,地代家賃,100000,普通預金,100000,事務所家賃 2025年12月分
2025-11-30,普通預金,450000,売掛金,450000,2025年10月分売掛金入金 コハク物産㈱
2025-11-30,普通預金,220000,売掛金,220000,2025年10月分売掛金入金 ツバキ工房
2025-11-30,普通預金,280000,売掛金,280000,2025年10月分売掛金入金 ヒイラギ社
2025-11-30,普通預金,380000,売掛金,380000,2025年10月分売掛金入金 ㈱アオゾラ企画
2025-11-30,普通預金,600000,売掛金,600000,2025年10月分売掛金入金 ㈱シラカバ堂
2025-11-30,仕入高,450000,買掛金,450000,2025年11月分仕入 ㈱ヤマブキ卸
2025-11-30,売掛金,450000,売上高,450000,2025年11月分売上 コハク物産㈱
2025-11-30,売掛金,220000,売上高,220000,2025年11月分売上 ツバキ工房
2025-11-30,売掛金,380000,売上高,380000,2025年11月分売上 ㈱アオゾラ企画
2025-11-30,売掛金,600000,売上高,600000,2025年11月分売上 ㈱シラカバ堂
2025-11-30,支払手数料,880,普通預金,880,振込手数料
2025-11-30,未払金,45000,普通預金,45000,社会保険料 2025年10月分支払
2025-11-30,法定福利費,45000,未払金,45000,社会保険料 2025年11月分
2025-12-04,消耗品費,10490,普通預金,10490,アスクル 事務用品
2025-12-05,通信費,24800,普通預金,24800,インターネット・電話料金 2025年12月分
2025-12-10,買掛金,450000,普通預金,450000,2025年11月分仕入代金支払 ㈱ヤマブキ卸
2025-12-10,外注費,33000,普通預金,33000,2025年12月分オフィスクリーニング ㈱クリンサポート
2025-12-12,広告宣伝費,22000,普通預金,22000,Web広告費 2025年12月分
2025-12-14,旅費交通費,12670,普通預金,12670,新幹線代 東京出張
2025-12-18,通信費,1420,普通預金,1420,レターパック代
2025-12-21,消耗品費,4620,普通預金,4620,Amazon 事務用品
2025-12-25,給料手当,291580,普通預金,291580,2025年12月分給与 差引支給額
2025-12-25,給料手当,8420,預り金,8420,2025年12月分給与 源泉所得税
2025-12-25,旅費交通費,1800,普通預金,1800,タクシー代
2025-12-25,給料手当,290000,普通預金,290000,冬季賞与 差引支給額
2025-12-25,給料手当,10000,預り金,10000,冬季賞与 源泉所得税
2025-12-27,支払利息,3000,普通預金,3000,借入金利息 2025年12月分
2025-12-27,長期借入金,50000,普通預金,50000,借入金返済 2025年12月分
2025-12-28,地代家賃,100000,普通預金,100000,事務所家賃 2026年1月分
2025-12-29,交際費,26730,普通預金,26730,取引先会食
2025-12-31,普通預金,450000,売掛金,450000,2025年11月分売掛金入金 コハク物産㈱
2025-12-31,普通預金,220000,売掛金,220000,2025年11月分売掛金入金 ツバキ工房
2025-12-31,普通預金,380000,売掛金,380000,2025年11月分売掛金入金 ㈱アオゾラ企画
2025-12-31,普通預金,600000,売掛金,600000,2025年11月分売掛金入金 ㈱シラカバ堂
2025-12-31,仕入高,450000,買掛金,450000,2025年12月分仕入 ㈱ヤマブキ卸
2025-12-31,売掛金,450000,売上高,450000,2025年12月分売上 コハク物産㈱
2025-12-31,売掛金,220000,売上高,220000,2025年12月分売上 ツバキ工房
2025-12-31,売掛金,380000,売上高,380000,2025年12月分売上 ㈱アオゾラ企画
2025-12-31,売掛金,600000,売上高,600000,2025年12月分売上 ㈱シラカバ堂
2025-12-31,支払手数料,880,普通預金,880,振込手数料
2025-12-31,未払金,45000,普通預金,45000,社会保険料 2025年11月分支払
2025-12-31,法定福利費,45000,未払金,45000,社会保険料 2025年12月分
2026-01-05,通信費,24800,普通預金,24800,インターネット・電話料金 2026年1月分
2026-01-10,買掛金,450000,普通預金,450000,2025年12月分仕入代金支払 ㈱ヤマブキ卸
2026-01-10,外注費,33000,普通預金,33000,2026年1月分オフィスクリーニング ㈱クリンサポート
2026-01-10,交際費,15330,普通預金,15330,取引先会食
2026-01-12,広告宣伝費,22000,普通預金,22000,Web広告費 2026年1月分
2026-01-13,新聞図書費,3020,普通預金,3020,書籍代
2026-01-15,役員貸付金,100000,普通預金,100000,代表者への貸付
2026-01-17,旅費交通費,24540,普通預金,24540,新幹線代 東京出張
2026-01-20,預り金,60520,普通預金,60520,源泉所得税納付 2025年7月～12月分（納期特例）
2026-01-22,消耗品費,2890,普通預金,2890,Amazon 事務用品
2026-01-24,消耗品費,8840,普通預金,8840,アスクル 事務用品
2026-01-25,給料手当,291580,普通預金,291580,2026年1月分給与 差引支給額
2026-01-25,給料手当,8420,預り金,8420,2026年1月分給与 源泉所得税
2026-01-27,支払利息,3000,普通預金,3000,借入金利息 2026年1月分
2026-01-27,長期借入金,50000,普通預金,50000,借入金返済 2026年1月分
2026-01-28,地代家賃,100000,普通預金,100000,事務所家賃 2026年2月分
2026-01-29,通信費,830,普通預金,830,レターパック代
2026-01-31,普通預金,450000,売掛金,450000,2025年12月分売掛金入金 コハク物産㈱
2026-01-31,普通預金,220000,売掛金,220000,2025年12月分売掛金入金 ツバキ工房
2026-01-31,普通預金,380000,売掛金,380000,2025年12月分売掛金入金 ㈱アオゾラ企画
2026-01-31,普通預金,600000,売掛金,600000,2025年12月分売掛金入金 ㈱シラカバ堂
2026-01-31,仕入高,450000,買掛金,450000,2026年1月分仕入 ㈱ヤマブキ卸
2026-01-31,売掛金,450000,売上高,450000,2026年1月分売上 コハク物産㈱
2026-01-31,売掛金,220000,売上高,220000,2026年1月分売上 ツバキ工房
2026-01-31,売掛金,380000,売上高,380000,2026年1月分売上 ㈱アオゾラ企画
2026-01-31,売掛金,600000,売上高,600000,2026年1月分売上 ㈱シラカバ堂
2026-01-31,支払手数料,880,普通預金,880,振込手数料
2026-01-31,未払金,45000,普通預金,45000,社会保険料 2025年12月分支払
2026-01-31,法定福利費,45000,未払金,45000,社会保険料 2026年1月分
2026-02-05,通信費,24800,普通預金,24800,インターネット・電話料金 2026年2月分
2026-02-10,買掛金,450000,普通預金,450000,2026年1月分仕入代金支払 ㈱ヤマブキ卸
2026-02-10,外注費,33000,普通預金,33000,2026年2月分オフィスクリーニング ㈱クリンサポート
2026-02-10,新聞図書費,2880,普通預金,2880,書籍代
2026-02-12,広告宣伝費,22000,普通預金,22000,Web広告費 2026年2月分
2026-02-13,消耗品費,3800,普通預金,3800,アスクル 事務用品
2026-02-14,交際費,1200,普通預金,1200,スターバックス 打合せ
2026-02-15,役員貸付金,100000,普通預金,100000,代表者への貸付
2026-02-16,会議費,1450,普通預金,1450,打合せ喫茶代
2026-02-21,旅費交通費,2170,普通預金,2170,タクシー代
2026-02-25,給料手当,291580,普通預金,291580,2026年2月分給与 差引支給額
2026-02-25,給料手当,8420,預り金,8420,2026年2月分給与 源泉所得税
2026-02-26,交際費,38600,普通預金,38600,取引先会食
2026-02-27,消耗品費,5940,普通預金,5940,Amazon 事務用品
2026-02-27,支払利息,3000,普通預金,3000,借入金利息 2026年2月分
2026-02-27,長期借入金,50000,普通預金,50000,借入金返済 2026年2月分
2026-02-28,普通預金,450000,売掛金,450000,2026年1月分売掛金入金 コハク物産㈱
2026-02-28,普通預金,220000,売掛金,220000,2026年1月分売掛金入金 ツバキ工房
2026-02-28,普通預金,380000,売掛金,380000,2026年1月分売掛金入金 ㈱アオゾラ企画
2026-02-28,普通預金,600000,売掛金,600000,2026年1月分売掛金入金 ㈱シラカバ堂
2026-02-28,仕入高,450000,買掛金,450000,2026年2月分仕入 ㈱ヤマブキ卸
2026-02-28,売掛金,450000,売上高,450000,2026年2月分売上 コハク物産㈱
2026-02-28,売掛金,220000,売上高,220000,2026年2月分売上 ツバキ工房
2026-02-28,売掛金,320000,売上高,320000,2026年2月分売上 ヒイラギ社
2026-02-28,売掛金,380000,売上高,380000,2026年2月分売上 ㈱アオゾラ企画
2026-02-28,売掛金,600000,売上高,600000,2026年2月分売上 ㈱シラカバ堂
2026-02-28,地代家賃,100000,普通預金,100000,事務所家賃 2026年3月分
2026-02-28,支払手数料,880,普通預金,880,振込手数料
2026-02-28,未払金,45000,普通預金,45000,社会保険料 2026年1月分支払
2026-02-28,法定福利費,45000,未払金,45000,社会保険料 2026年2月分
2026-03-05,通信費,24800,普通預金,24800,インターネット・電話料金 2026年3月分
2026-03-08,消耗品費,280000,普通預金,280000,ノートPC購入
2026-03-10,買掛金,450000,普通預金,450000,2026年2月分仕入代金支払 ㈱ヤマブキ卸
2026-03-10,外注費,33000,普通預金,33000,2026年3月分オフィスクリーニング ㈱クリンサポート
2026-03-12,広告宣伝費,22000,普通預金,22000,Web広告費 2026年3月分
2026-03-14,旅費交通費,1990,普通預金,1990,タクシー代
2026-03-15,消耗品費,4410,普通預金,4410,Amazon 事務用品
2026-03-15,役員貸付金,100000,普通預金,100000,代表者への貸付
2026-03-19,旅費交通費,20910,普通預金,20910,新幹線代 東京出張
2026-03-21,消耗品費,5500,普通預金,5500,
2026-03-22,交際費,35900,普通預金,35900,取引先会食
2026-03-25,給料手当,291580,普通預金,291580,2026年3月分給与 差引支給額
2026-03-25,給料手当,8420,預り金,8420,2026年3月分給与 源泉所得税
2026-03-26,会議費,1760,普通預金,1760,打合せ喫茶代
2026-03-27,支払利息,3000,普通預金,3000,借入金利息 2026年3月分
2026-03-27,長期借入金,50000,普通預金,50000,借入金返済 2026年3月分
2026-03-28,地代家賃,100000,普通預金,100000,事務所家賃 2026年4月分
2026-03-30,通信費,1120,普通預金,1120,レターパック代
2026-03-31,普通預金,450000,売掛金,450000,2026年2月分売掛金入金 コハク物産㈱
2026-03-31,普通預金,220000,売掛金,220000,2026年2月分売掛金入金 ツバキ工房
2026-03-31,普通預金,320000,売掛金,320000,2026年2月分売掛金入金 ヒイラギ社
2026-03-31,普通預金,380000,売掛金,380000,2026年2月分売掛金入金 ㈱アオゾラ企画
2026-03-31,普通預金,600000,売掛金,600000,2026年2月分売掛金入金 ㈱シラカバ堂
2026-03-31,仕入高,450000,買掛金,450000,2026年3月分仕入 ㈱ヤマブキ卸
2026-03-31,売掛金,450000,売上高,450000,2026年3月分売上 コハク物産㈱
2026-03-31,売掛金,220000,売上高,220000,2026年3月分売上 ツバキ工房
2026-03-31,売掛金,380000,売上高,380000,2026年3月分売上 ㈱アオゾラ企画
2026-03-31,売掛金,600000,売上高,600000,2026年3月分売上 ㈱シラカバ堂
2026-03-31,支払手数料,880,普通預金,880,振込手数料
2026-03-31,未払金,45000,普通預金,45000,社会保険料 2026年2月分支払
2026-03-31,法定福利費,45000,未払金,45000,社会保険料 2026年3月分
2026-04-04,通信費,1920,普通預金,1920,レターパック代
2026-04-05,通信費,24800,普通預金,24800,インターネット・電話料金 2026年4月分
2026-04-07,旅費交通費,3290,普通預金,3290,タクシー代
2026-04-10,買掛金,450000,普通預金,450000,2026年3月分仕入代金支払 ㈱ヤマブキ卸
2026-04-10,外注費,33000,普通預金,33000,2026年4月分オフィスクリーニング ㈱クリンサポート
2026-04-10,仮払金,100000,普通預金,100000,出張仮払 佐藤
2026-04-12,広告宣伝費,22000,普通預金,22000,Web広告費 2026年4月分
2026-04-15,役員貸付金,100000,普通預金,100000,代表者への貸付
2026-04-16,消耗品費,6030,普通預金,6030,アスクル 事務用品
2026-04-17,会議費,1300,普通預金,1300,打合せ喫茶代
2026-04-18,会議費,6480,現金,6480,打合せ喫茶代
2026-04-19,旅費交通費,9680,普通預金,9680,新幹線代 東京出張
2026-04-22,消耗品費,12000,未収入金,12000,文具返品の返金処理
2026-04-24,新聞図書費,1940,普通預金,1940,書籍代
2026-04-25,給料手当,291580,普通預金,291580,2026年4月分給与 差引支給額
2026-04-25,給料手当,8420,預り金,8420,2026年4月分給与 源泉所得税
2026-04-27,支払利息,3000,普通預金,3000,借入金利息 2026年4月分
2026-04-27,長期借入金,50000,普通預金,50000,借入金返済 2026年4月分
2026-04-28,地代家賃,100000,普通預金,100000,事務所家賃 2026年5月分
2026-04-30,普通預金,450000,売掛金,450000,2026年3月分売掛金入金 コハク物産㈱
2026-04-30,普通預金,220000,売掛金,220000,2026年3月分売掛金入金 ツバキ工房
2026-04-30,普通預金,600000,売掛金,600000,2026年3月分売掛金入金 ㈱シラカバ堂
2026-04-30,仕入高,450000,買掛金,450000,2026年4月分仕入 ㈱ヤマブキ卸
2026-04-30,売掛金,450000,売上高,450000,2026年4月分売上 コハク物産㈱
2026-04-30,売掛金,220000,売上高,220000,2026年4月分売上 ツバキ工房
2026-04-30,売掛金,380000,売上高,380000,2026年4月分売上 ㈱アオゾラ企画
2026-04-30,売掛金,600000,売上高,600000,2026年4月分売上 ㈱シラカバ堂
2026-04-30,支払手数料,880,普通預金,880,振込手数料
2026-04-30,未払金,45000,普通預金,45000,社会保険料 2026年3月分支払
2026-04-30,法定福利費,45000,未払金,45000,社会保険料 2026年4月分
2026-05-05,通信費,24800,普通預金,24800,インターネット・電話料金 2026年5月分
2026-05-07,通信費,710,普通預金,710,レターパック代
2026-05-08,会議費,2450,普通預金,2450,打合せ喫茶代
2026-05-10,買掛金,450000,普通預金,450000,2026年4月分仕入代金支払 ㈱ヤマブキ卸
2026-05-10,外注費,33000,普通預金,33000,2026年5月分オフィスクリーニング ㈱クリンサポート
2026-05-12,広告宣伝費,22000,普通預金,22000,Web広告費 2026年5月分
2026-05-12,旅費交通費,3800,普通預金,3800,タクシー代
2026-05-14,交際費,44440,普通預金,44440,取引先会食
2026-05-15,役員貸付金,100000,普通預金,100000,代表者への貸付
2026-05-18,消耗品費,80000,現金,80000,プリンタ購入
2026-05-20,現金,100000,普通預金,100000,小口現金補充
2026-05-22,消耗品費,7790,普通預金,7790,アスクル 事務用品
2026-05-25,給料手当,291580,普通預金,291580,2026年5月分給与 差引支給額
2026-05-25,給料手当,8420,預り金,8420,2026年5月分給与 源泉所得税
2026-05-27,支払利息,3000,普通預金,3000,借入金利息 2026年5月分
2026-05-27,長期借入金,50000,普通預金,50000,借入金返済 2026年5月分
2026-05-27,新聞図書費,4640,普通預金,4640,書籍代
2026-05-28,地代家賃,100000,普通預金,100000,事務所家賃 2026年6月分
2026-05-31,普通預金,450000,売掛金,450000,2026年4月分売掛金入金 コハク物産㈱
2026-05-31,普通預金,220000,売掛金,220000,2026年4月分売掛金入金 ツバキ工房
2026-05-31,普通預金,600000,売掛金,600000,2026年4月分売掛金入金 ㈱シラカバ堂
2026-05-31,仕入高,450000,買掛金,450000,2026年5月分仕入 ㈱ヤマブキ卸
2026-05-31,売掛金,450000,売上高,450000,2026年5月分売上 コハク物産㈱
2026-05-31,売掛金,220000,売上高,220000,2026年5月分売上 ツバキ工房
2026-05-31,売掛金,380000,売上高,380000,2026年5月分売上 ㈱アオゾラ企画
2026-05-31,売掛金,600000,売上高,600000,2026年5月分売上 ㈱シラカバ堂
2026-05-31,支払手数料,880,普通預金,880,振込手数料
2026-05-31,未払金,45000,普通預金,45000,社会保険料 2026年4月分支払
2026-05-31,法定福利費,45000,未払金,45000,社会保険料 2026年5月分
2026-06-02,消耗品費,7500,普通預金,7500,アスクル 事務用品
2026-06-05,通信費,24800,普通預金,24800,インターネット・電話料金 2026年6月分
2026-06-09,交際費,42010,普通預金,42010,取引先会食
2026-06-10,買掛金,450000,普通預金,450000,2026年5月分仕入代金支払 ㈱ヤマブキ卸
2026-06-10,外注費,33000,普通預金,33000,2026年6月分オフィスクリーニング ㈱クリンサポート
2026-06-12,外注費,33000,普通預金,33000,2026年6月分オフィスクリーニング ㈱クリンサポート
2026-06-12,広告宣伝費,22000,普通預金,22000,Web広告費 2026年6月分
2026-06-13,会議費,2860,普通預金,2860,打合せ喫茶代
2026-06-15,役員貸付金,100000,普通預金,100000,代表者への貸付
2026-06-15,通信費,132000,普通預金,132000,業務ソフト年間ライセンス 2026年7月～2027年6月分
2026-06-16,消耗品費,8900,普通預金,8900,Amazon 事務用品
2026-06-25,給料手当,291580,普通預金,291580,2026年6月分給与 差引支給額
2026-06-25,給料手当,8420,預り金,8420,2026年6月分給与 源泉所得税
2026-06-25,普通預金,600000,売上高,600000,年間保守契約料 2026年7月～2027年6月分 ㈱シラカバ堂
2026-06-27,支払利息,3000,普通預金,3000,借入金利息 2026年6月分
2026-06-27,長期借入金,50000,普通預金,50000,借入金返済 2026年6月分
2026-06-27,新聞図書費,2090,普通預金,2090,書籍代
2026-06-28,通信費,550,普通預金,550,レターパック代
2026-06-28,地代家賃,100000,普通預金,100000,事務所家賃 2026年7月分
2026-06-30,普通預金,450000,売掛金,450000,2026年5月分売掛金入金 コハク物産㈱
2026-06-30,普通預金,220000,売掛金,220000,2026年5月分売掛金入金 ツバキ工房
2026-06-30,普通預金,600000,売掛金,600000,2026年5月分売掛金入金 ㈱シラカバ堂
2026-06-30,売掛金,450000,売上高,450000,2026年6月分売上 コハク物産㈱
2026-06-30,売掛金,220000,売上高,220000,2026年6月分売上 ツバキ工房
2026-06-30,売掛金,380000,売上高,380000,2026年6月分売上 ㈱アオゾラ企画
2026-06-30,売掛金,600000,売上高,600000,2026年6月分売上 ㈱シラカバ堂
2026-06-30,売掛金,300000,売上高,300000,2026年7月分売上 ヒイラギ社
2026-06-30,支払手数料,880,普通預金,880,振込手数料
2026-06-30,未払金,45000,普通預金,45000,社会保険料 2026年5月分支払
